Blue_Pick_1,Blue_Pick_2,Blue_Pick_3,Blue_Pick_4,Blue_Pick_5,Red_Pick_1,Red_Pick_2,Red_Pick_3,Red_Pick_4,Red_Pick_5,Blue_Win
TahmKench,MonkeyKing,Aurora,Kalista,Elise,Tryndamere,Malphite,Sylas,Caitlyn,Karma,1
Jayce,Kayn,Anivia,Jhin,Morgana,TahmKench,Khazix,Azir,MissFortune,Leona,1
Cassiopeia,Elise,Zed,Lucian,Milio,TahmKench,Diana,Ryze,Yunara,Brand,0
Fiora,Jax,Azir,Jhin,Nami,Garen,Nidalee,Mel,Kaisa,Alistar,0
Fiora,Kayn,Vladimir,Yasuo,Janna,Ornn,Rammus,Zed,Kaisa,Senna,1
Olaf,Diana,Vex,Kaisa,Blitzcrank,Garen,Belveth,Yasuo,Ashe,Karma,1
Yorick,Zed,Mel,KogMaw,Renata,Ornn,Belveth,Singed,Jinx,Neeko,0
TahmKench,Belveth,Gwen,Sivir,Karma,Aatrox,Khazix,Malzahar,Xayah,Thresh,1
Aatrox,Naafiri,Syndra,Jinx,Morgana,TahmKench,Volibear,Diana,Caitlyn,Milio,1
Kled,JarvanIV,Leblanc,Swain,Sona,Garen,Shaco,Quinn,Jinx,Leona,1
Garen,MasterYi,Lux,Ezreal,Seraphine,Renekton,Karthus,Azir,Jinx,Lulu,1
Aatrox,Khazix,Ekko,Aphelios,Thresh,TahmKench,Hecarim,Viktor,Smolder,Lissandra,0
Ambessa,Udyr,Galio,Jhin,Soraka,Nasus,Talon,Diana,Ezreal,Elise,1
Nasus,Ivern,Mel,Vayne,Sylas,Garen,Viego,Fizz,Vladimir,Thresh,0
Renekton,XinZhao,Kayle,Sivir,Soraka,TahmKench,Briar,Lissandra,Kaisa,Maokai,0
TahmKench,MasterYi,Katarina,Jinx,Yuumi,Camille,JarvanIV,Zed,Seraphine,Thresh,1
TahmKench,Belveth,Hwei,Kaisa,Nidalee,Irelia,Viego,KogMaw,Xayah,Milio,0
Mordekaiser,Viego,Ekko,Yunara,Braum,TahmKench,Kindred,Akali,Jinx,Blitzcrank,0
Gwen,Nocturne,Akali,Yunara,Soraka,TahmKench,Viego,Lux,Smolder,Nami,0
Malphite,JarvanIV,Ekko,Jhin,Bard,Kayle,Nidalee,Katarina,MissFortune,Zilean,1
Kayle,Belveth,Cassiopeia,Kaisa,Karma,Shen,Briar,Blitzcrank,MissFortune,Renekton,1
Sett,MonkeyKing,Kassadin,MissFortune,Bard,TahmKench,XinZhao,Akshan,Smolder,Nami,0
Gwen,Kayn,Hwei,Jhin,Nami,TahmKench,Volibear,Viktor,Corki,Nautilus,1
Chogath,Warwick,Ahri,Yunara,Zilean,Ornn,Evelynn,Sylas,Twitch,Yuumi,1
Katarina,LeeSin,Hwei,Ashe,TahmKench,Ornn,Zed,Sylas,Vayne,Leona,1
Ornn,Vi,Fizz,Kaisa,Blitzcrank,Shen,Rengar,Akali,Aphelios,Nautilus,1
Shen,Khazix,Mel,Seraphine,Pantheon,Cassiopeia,LeeSin,Taliyah,Jhin,TahmKench,0
Shen,Nunu,Syndra,Aphelios,Zilean,Olaf,LeeSin,Yasuo,Mel,Alistar,1
Shen,Skarner,Annie,Kaisa,Zilean,Singed,Khazix,Yone,Zeri,Braum,0
Garen,Kayn,Kayle,Sivir,Zilean,Shen,Vi,Ahri,Senna,Karma,0
Urgot,Kindred,Syndra,Smolder,Morgana,TahmKench,Amumu,Hwei,Samira,Leona,1
Shen,Ekko,TwistedFate,Jinx,Thresh,Chogath,Pantheon,Ryze,MissFortune,Braum,0
Kayle,Qiyana,Sylas,Xayah,Alistar,Shen,Ekko,Yone,Kaisa,Nami,0
Sett,Poppy,Malzahar,Swain,TahmKench,Shen,JarvanIV,Ahri,Smolder,Nami,0
Aatrox,Ekko,Talon,Vayne,Nami,Shen,Karthus,Zoe,Yasuo,Soraka,0
Shen,Ivern,Ekko,Ashe,Braum,Sett,Kindred,Orianna,Lucian,Bard,1
Shen,Briar,Naafiri,Jinx,Lux,Mordekaiser,Ekko,Zed,Xayah,Janna,1
Singed,Volibear,Ivern,Vayne,Pyke,TahmKench,Ekko,Zed,Kaisa,Poppy,1
TahmKench,Naafiri,Hwei,Varus,Rell,Shen,Evelynn,Xerath,Senna,Nautilus,0
TahmKench,XinZhao,Swain,Corki,Thresh,Trundle,Viego,Azir,Kaisa,Sylas,1
TahmKench,XinZhao,Syndra,Draven,Milio,Warwick,Poppy,Zed,Kaisa,Nami,0
TahmKench,Kayn,Aurora,Kaisa,Nami,Volibear,Ekko,TwistedFate,Twitch,Milio,1
TahmKench,Warwick,Yone,Jinx,Janna,Renekton,Kassadin,Neeko,Draven,Taric,1
TahmKench,Khazix,Zoe,Senna,Pantheon,Mordekaiser,Kindred,Yasuo,Smolder,Soraka,1
TahmKench,Nunu,Yone,Jinx,Nami,Sett,Diana,Malzahar,Zeri,Braum,0
Ornn,Volibear,Ekko,Caitlyn,Bard,KSante,Zed,Zoe,Vayne,Rakan,1
TahmKench,XinZhao,Viktor,Jhin,Yuumi,Volibear,Naafiri,Sylas,Sivir,Seraphine,0
Tryndamere,Shaco,Diana,Samira,Rell,TahmKench,Evelynn,Taliyah,Jhin,Zyra,0
TahmKench,Shaco,Yasuo,Senna,Leona,Swain,Kindred,Gragas,Kaisa,Lulu,0
TahmKench,Kayn,Katarina,Lucian,Nami,Riven,Nunu,Zed,AurelionSol,Leona,1
TahmKench,Rammus,AurelionSol,Jinx,Lulu,Ryze,Rengar,Swain,Zeri,Soraka,1
TahmKench,Shyvana,Vex,Kaisa,Brand,Camille,Pantheon,TwistedFate,Jhin,Nautilus,0
Ornn,Taliyah,Yone,Aphelios,Velkoz,TahmKench,Nidalee,Jayce,Ashe,Nautilus,1
TahmKench,Nocturne,Ahri,Lucian,Lulu,Rumble,LeeSin,Mel,Twitch,Karma,0
Camille,Udyr,Katarina,Varus,Braum,Jayce,Nocturne,Swain,Samira,Nautilus,1
TahmKench,Poppy,Nunu,Seraphine,Senna,Zilean,LeeSin,Akali,Twitch,Taric,0
TahmKench,Shen,Akali,Quinn,Nautilus,Illaoi,Ekko,Kayle,Smolder,Senna,0
Swain,RekSai,Velkoz,Tristana,Sona,TahmKench,Kayn,Vladimir,Lucian,Yuumi,1
Sett,Kindred,Malzahar,Jinx,Lulu,TahmKench,MonkeyKing,Ekko,Smolder,Janna,0
TahmKench,Lillia,Yone,Kaisa,Nami,Fiora,Ekko,Ryze,Lucian,Nautilus,1
TahmKench,Diana,Yasuo,Smolder,Rakan,Warwick,Qiyana,Annie,Kalista,Alistar,1
TahmKench,Qiyana,Akali,Senna,Braum,DrMundo,Ekko,Zed,KogMaw,Lulu,0
Shen,DrMundo,Taliyah,Jhin,Bard,TahmKench,Zed,Diana,Kaisa,Nautilus,1
TahmKench,JarvanIV,Tristana,Swain,Lulu,Garen,Rengar,Orianna,Smolder,Velkoz,1
Vayne,Shaco,Fizz,Tristana,Pantheon,TahmKench,Hecarim,Lissandra,Kaisa,Nami,0
TahmKench,Darius,Orianna,MissFortune,Zyra,Sion,XinZhao,Azir,KogMaw,Lulu,1
TahmKench,Kayn,Taliyah,Kaisa,Caitlyn,Darius,Warwick,Sylas,Lucian,Milio,1
TahmKench,Rengar,Azir,Ezreal,Senna,Shen,Zac,Hwei,Lux,Zoe,1
Olaf,Volibear,Zoe,Jhin,Velkoz,TahmKench,Viego,Leblanc,Lucian,Nami,0
Ambessa,Nocturne,Viktor,Kaisa,Nautilus,TahmKench,Neeko,Lucian,Varus,Renata,0
TahmKench,DrMundo,Ahri,Ezreal,Lux,Fiora,Zac,Kassadin,Caitlyn,Senna,0
Olaf,Lillia,Vladimir,Caitlyn,Braum,TahmKench,XinZhao,Viktor,Senna,Nautilus,0
Ambessa,FiddleSticks,Zed,Caitlyn,Thresh,TahmKench,Rengar,Hwei,Draven,JarvanIV,0
Ambessa,Shyvana,Diana,Nilah,Thresh,TahmKench,Karthus,Azir,Lucian,Nami,0
DrMundo,Graves,Taliyah,Lucian,Elise,Sett,Ivern,Pantheon,Corki,Karma,1
Chogath,Viego,Mel,Hwei,Velkoz,Sylas,Sejuani,Kayle,Corki,Zilean,0
Aurora,Zac,Zed,Smolder,Karma,TahmKench,Rengar,Vladimir,Kaisa,Thresh,1
Mordekaiser,Kayn,Mel,Varus,Bard,TahmKench,Khazix,Orianna,Aphelios,Braum,0
Teemo,Kayn,Zed,Caitlyn,Morgana,Chogath,JarvanIV,Viktor,Smolder,Milio,0
DrMundo,Briar,Katarina,MissFortune,JarvanIV,Aatrox,Khazix,Ahri,Ashe,Bard,1
DrMundo,Volibear,Kennen,Caitlyn,Nautilus,Shen,Kayn,Ekko,Vayne,Janna,0
DrMundo,Brand,Yasuo,Samira,Maokai,Chogath,LeeSin,Sylas,Kalista,Pyke,0
DrMundo,Lillia,Ahri,Jhin,Karma,Kayle,Elise,Yone,Kalista,Milio,0
DrMundo,Shaco,Syndra,Tristana,Soraka,Aatrox,Volibear,Cassiopeia,Senna,Leona,1
DrMundo,Diana,Vladimir,Samira,Alistar,Kennen,Nocturne,Talon,Twitch,Janna,1
DrMundo,Khazix,Akali,Senna,Thresh,Vayne,Shaco,Ryze,Jinx,Alistar,1
DrMundo,Zed,Akali,Senna,Karma,Chogath,Viego,Yasuo,Karthus,Nami,1
TahmKench,Vi,Jayce,Ziggs,Shaco,Volibear,Karthus,Yone,Aphelios,Alistar,0
Sett,Rengar,Lissandra,Jhin,Ashe,Garen,JarvanIV,Akali,Lucian,Braum,0
Fiora,XinZhao,Mel,Ezreal,Thresh,Garen,Elise,Anivia,Jinx,Janna,0
TahmKench,Kayn,Veigar,Lucian,Nami,Riven,Zac,Taliyah,Zeri,Sona,1
Garen,JarvanIV,Anivia,Caitlyn,FiddleSticks,Gnar,Amumu,Kassadin,Varus,Velkoz,1
TahmKench,Amumu,Mel,MissFortune,Nautilus,Camille,Talon,Ryze,Kaisa,Galio,1
Garen,Sion,Xerath,Syndra,Lux,Yone,Zac,Velkoz,Draven,Sona,1
Smolder,Lillia,Galio,Jinx,Pantheon,TahmKench,XinZhao,Ryze,MissFortune,Karma,0
Garen,Khazix,Akali,Vayne,Thresh,Kayle,XinZhao,Varus,Sivir,Sona,1
Garen,Briar,TwistedFate,Kaisa,Lux,MonkeyKing,FiddleSticks,Mel,Draven,Sona,1
TahmKench,Talon,Hwei,Kaisa,Zyra,Vladimir,Darius,XinZhao,Xayah,Milio,1
Jayce,XinZhao,Vex,Varus,Lulu,Yasuo,Shaco,Sylas,Jhin,Nami,0
Garen,Kayn,Ahri,Kaisa,Janna,Jax,Rengar,Ekko,Tristana,Lulu,0
Darius,Talon,Xerath,Smolder,Nami,Chogath,Viego,Ahri,Kaisa,Soraka,1
Renekton,Talon,Ekko,Smolder,Thresh,Ambessa,Nocturne,Zoe,Kaisa,Janna,1
Gnar,Ekko,Ahri,Kaisa,Nautilus,Irelia,Talon,Vladimir,Smolder,Swain,0
Zaahen,Talon,Zoe,Ezreal,Lux,Fiora,MasterYi,Ahri,Aphelios,Zyra,1
Riven,Talon,Ahri,Kaisa,Nautilus,Jayce,Briar,Zed,Ziggs,Bard,1
Kled,Talon,Morgana,Smolder,Leona,Viktor,Shaco,Tristana,Ashe,Thresh,1
Aatrox,Sylas,Yasuo,Twitch,Morgana,Yone,Elise,AurelionSol,Smolder,Thresh,0
Zaahen,Qiyana,Syndra,Samira,Rakan,Jax,Karthus,Ahri,Smolder,Bard,0
KSante,Talon,Katarina,Tristana,Morgana,Volibear,Shaco,Akali,Yunara,Leona,1
Darius,Hecarim,Yasuo,Tristana,Elise,Singed,Nocturne,Yone,Lucian,Braum,0
Kled,Neeko,Briar,MissFortune,Velkoz,Malphite,Elise,Ryze,Tristana,Pyke,1
Sett,Riven,AurelionSol,Velkoz,Alistar,Singed,Elise,Akali,Jinx,Lulu,0
Fiora,Briar,Diana,MissFortune,Lulu,Yorick,Elise,Ahri,Caitlyn,Leona,0
Aatrox,Graves,Leblanc,Ezreal,Soraka,TahmKench,Talon,Taliyah,Jhin,Smolder,1
Gragas,Lillia,Smolder,Ezreal,Milio,Varus,Karthus,Yone,Tristana,Pyke,0
Quinn,Elise,TwistedFate,Smolder,Thresh,Zaahen,MasterYi,Viktor,Nilah,Lulu,1
Yorick,Evelynn,Qiyana,Tristana,Nautilus,Teemo,Talon,Lucian,Xayah,Braum,0
Darius,JarvanIV,Kennen,Twitch,Nami,Camille,MonkeyKing,Smolder,Ezreal,Brand,1
Shen,Belveth,Malzahar,Tristana,Zilean,Kayle,Fizz,Zed,Kaisa,Soraka,0
Darius,Malphite,Zoe,MissFortune,Nautilus,Garen,Viego,Viktor,Jhin,Annie,0
Chogath,Teemo,Syndra,Lucian,Milio,Kayle,Sion,Leblanc,MissFortune,Nautilus,0
Garen,Viego,Akali,Kaisa,Leblanc,Zaahen,Teemo,Talon,Ezreal,Bard,0
Mordekaiser,Teemo,Aurora,Jhin,Thresh,Ornn,Khazix,Taliyah,Samira,Elise,1
Sion,Udyr,Vex,Kaisa,Karma,Aatrox,Teemo,Yasuo,Smolder,Sona,0
DrMundo,Teemo,Ahri,Tristana,Pantheon,Diana,Belveth,Mel,Smolder,Soraka,1
Pantheon,Briar,Veigar,Smolder,Nautilus,Kayle,Teemo,Akshan,Tristana,Nami,0
Zaahen,Talon,Kassadin,Lucian,Nami,Camille,Sylas,Velkoz,Kaisa,Lulu,0
Sion,Shyvana,Katarina,Jhin,Sona,Ornn,Fizz,Sylas,Xayah,Rakan,1
Riven,MasterYi,Morgana,Smolder,Seraphine,Shaco,Graves,Anivia,Ezreal,Lulu,1
Teemo,Talon,Kassadin,Vayne,Galio,Leblanc,MonkeyKing,Ahri,Tristana,Janna,1
Teemo,Khazix,Ahri,Ezreal,Pyke,Chogath,Rengar,Zed,Twitch,Xerath,1
Sett,Diana,Akali,Jinx,Pyke,Malphite,Elise,Veigar,Smolder,Soraka,0
Malphite,Naafiri,Orianna,Kaisa,Soraka,Mordekaiser,Sylas,Malzahar,Caitlyn,Seraphine,0
Sion,Jax,Ahri,Aphelios,Thresh,Volibear,Elise,MissFortune,Vayne,Senna,1
